61420,960,106,14,53815,5891,1537,1257,19785,28686,8505,5524,1
61161,1024,308,7,5431,34219,22333,517,287,2991,8516,50706,1
34700,27595,203,2,16641,43818,1772,269,3440,21059,26457,11544,1
54906,2583,1944,3067,49091,5326,2704,5379,21791,18197,10047,12465,1
30623,6917,5207,19753,20523,4673,6341,30963,14060,5450,4708,38282,1
60358,2063,79,0,18151,20480,17707,6162,8228,7791,8199,38282,1
49649,12441,390,20,24166,33954,3784,596,769,8759,28145,24827,1
60465,1863,141,31,45597,13269,2652,982,13241,10643,22016,16600,1
61926,557,17,0,59496,2598,384,22,27899,30445,3318,838,1
44758,17305,413,24,44373,15583,1647,897,21897,26280,7160,7163,1
9873,20204,32423,0,5393,21446,35467,194,4567,17582,35424,4927,1
710,14702,21727,25361,0,12150,28262,22088,0,6727,27050,28723,1
6993,49909,5598,0,4003,48988,9499,10,33,15041,29872,17554,1
57998,4481,21,0,26006,26484,9263,747,14919,7130,10460,29991,1
13990,23513,21950,3047,12732,24723,20280,4765,9347,22645,21784,8724,1
53617,4325,3531,1027,44119,9191,4542,4648,29611,16312,9066,7511,1
59665,2049,681,105,53554,5920,2293,733,40805,11104,7243,3348,1
26028,28294,6784,1394,11599,35725,13141,2035,9103,19835,18033,15529,1
20752,26161,10454,5133,8107,35511,12915,5967,3316,31860,16027,11297,1
43592,15340,2387,1181,24017,30139,3562,4782,7165,31062,14474,9799,1
48525,10782,2666,527,28433,20154,10848,3065,15298,14233,12063,20906,1
6896,55279,325,0,28956,30434,2467,643,21376,26126,8543,6455,1
1898,42161,18438,3,2903,44709,14883,5,3636,29167,23503,6194,1
19479,41820,1179,22,10014,37373,14952,161,362,16003,20331,25804,1
3038,55063,4399,0,1866,44323,15724,587,389,26239,22124,13748,1
28183,33191,1126,0,20613,34391,6829,667,15795,27089,7568,12048,1
61244,1096,135,25,34931,17556,9504,509,421,21546,18081,22452,1
62336,151,13,0,11401,38590,12435,74,0,5142,9564,47794,1
58232,2351,1059,858,47808,7166,2821,4705,31881,17530,4747,8342,1
57339,2708,1506,947,39627,12825,4614,5434,26858,14994,9329,11319,1
59430,1206,947,917,34366,12977,9529,5628,2811,13882,18338,27469,1
61757,666,77,0,39817,18626,3486,571,25701,14860,11097,10842,1
57493,3022,582,1403,46695,7904,4202,3699,28252,15383,7001,11864,1
61990,302,122,86,25402,21099,12633,3366,6365,5911,12905,37319,1
57882,4416,201,1,47033,14147,1304,16,38969,18239,4162,1130,1
54269,7190,1041,0,34488,13342,8705,5965,4732,20616,11963,25189,1
62499,1,0,0,43128,17992,1380,0,0,27224,16412,18864,1
59843,1957,510,190,50079,10145,1610,666,7554,13231,21234,20481,1
54286,7809,400,5,37014,15106,7251,3129,22079,16453,8839,15129,1
57430,4318,743,9,45293,8484,4562,4161,19944,19392,9331,13833,1
51258,10896,343,3,26975,18910,11574,5041,7054,19926,14185,21335,1
59535,1929,850,186,40444,17398,3772,886,10335,25433,10129,16603,1
62151,300,49,0,58871,2303,1050,276,46156,7386,4437,4521,1
52398,7202,2332,568,37232,17117,5552,2599,12280,20394,15076,14750,1
25794,22598,12132,1976,10947,33833,15527,2193,5761,35078,15680,5981,1
24875,37464,161,0,23768,37339,1314,79,20827,27590,13062,1021,1
62065,267,104,64,52288,8430,1358,424,16839,16555,17371,11735,1
60196,1295,578,431,52243,6649,2348,1260,24265,18123,11034,9078,1
60224,1620,586,70,24212,29403,6048,2837,20313,10947,20392,10848,1
48956,13036,485,23,34486,25558,1689,767,18763,27814,8860,7063,1
60753,1513,228,6,54314,6071,1689,426,28260,22795,7506,3939,1
58523,1707,787,1483,48398,7403,3560,3139,33480,11160,6760,11100,1
54387,3455,2501,2157,44966,8220,3370,5944,19051,17825,12253,13371,1
643,43924,17611,322,12799,28435,12095,9171,12877,14343,11501,23779,1
60561,1420,374,145,58115,2812,1013,560,44381,10518,4626,2975,1
28551,18716,11213,4020,14342,30376,17167,615,12589,28349,16419,5143,1
56530,5870,87,13,38899,22229,1312,60,7682,18630,15676,20512,1
59177,2414,587,322,40650,16616,3809,1425,9609,29437,15153,8301,1
59785,2678,37,0,37244,21761,3489,6,15607,7707,13899,25287,1
33376,28903,158,63,57533,2756,1933,278,46748,9617,2309,3826,1
61699,575,107,119,60584,997,420,499,50388,8809,1424,1879,1
34579,27781,128,12,28622,33507,195,176,17072,40328,4634,466,1
10387,30260,18627,3226,12676,21979,21450,6395,11197,2045,25515,23743,1
62026,397,76,1,60177,1728,478,117,40936,12659,3961,4944,1
7849,54265,386,0,12554,40918,8438,590,12002,27001,12273,11224,1
44324,16229,1885,62,15392,15595,13015,18498,3434,11647,9986,37433,1
31716,29373,1315,96,22830,30756,4360,4554,10679,37327,5388,9106,1
5197,37080,16970,3253,1396,28684,29065,3355,1574,14725,21571,24630,1
61251,1042,146,61,30352,19771,8829,3548,3569,19108,14027,25796,1
62337,148,15,0,61667,776,51,6,52205,8368,1592,335,1
62181,200,94,25,61158,873,283,186,55467,4498,1470,1065,1
62304,144,52,0,59672,2320,354,154,29419,21510,6895,4676,1
56964,4795,532,209,31869,24450,4244,1937,10464,17151,22214,12671,1
60557,1121,794,28,58233,1901,1042,1324,21767,18600,12252,9881,1
207,61391,609,293,16162,45104,720,514,10415,46668,3798,1619,1
61703,584,197,16,59912,1395,784,409,55379,3790,1346,1985,1
26905,5868,23111,6616,26127,29528,6039,806,35171,11365,8222,7742,1
62500,0,0,0,61907,575,18,0,58705,1409,1214,1172,1
28307,29603,4590,0,15773,41423,5227,77,15946,38024,5649,2881,1
35459,14959,12078,4,35987,24560,1515,438,44949,10832,3847,2872,1
58813,1432,1117,1138,57565,1976,1162,1797,50502,5863,2711,3424,1
62357,138,5,0,61522,827,130,21,41246,10742,4599,5913,1
52121,7168,1753,1458,28994,23616,7817,2073,16089,11099,20151,15161,1
48233,13535,471,261,38304,21863,1564,769,28678,26340,4715,2767,1
46182,14870,1432,16,29745,28556,3303,896,21850,16499,14345,9806,1
52037,3223,1856,5384,31932,12557,8532,9479,13816,14306,11073,23305,1
56437,5996,64,3,50382,11979,106,33,31465,29953,735,347,1
61293,362,319,526,60566,872,329,733,51620,7646,1585,1649,1
59623,801,666,1410,40332,14357,5344,2467,16874,9678,14008,21940,1
38920,17855,2726,2999,14701,39330,5232,3237,3384,29879,21243,7994,1
60972,595,399,534,43404,12208,4827,2061,24961,14007,11233,12299,1
54577,7917,6,0,15644,38646,6188,2022,7708,16978,19566,18248,1
0,37067,25433,0,0,50669,11824,7,0,46305,14838,1357,1
52251,6692,3412,145,31102,25875,5093,430,14438,15467,21522,11073,1
62253,164,57,26,57135,4791,383,191,15119,10368,28405,8608,1
27071,7500,5451,22478,4959,10528,12007,35006,0,2522,4877,55101,1
62293,143,53,11,55216,6491,479,314,21666,20435,7601,12798,1
58544,2270,1424,262,26784,21770,6972,6974,9678,6251,15479,31092,1
59094,3041,349,16,55990,4205,1706,599,40542,12803,3003,6152,1
61237,1201,62,0,48532,8361,3704,1903,31170,8908,8359,14063,1
33097,28140,1262,1,19894,28660,12453,1493,11196,18835,15107,17362,1
61130,860,286,224,41469,13668,6486,877,761,14803,25863,21073,1
42358,11823,8319,0,36252,16599,9536,113,26915,18138,13042,4405,1
58799,3676,25,0,19373,38091,3493,1543,807,29564,17086,15043,1
37431,19089,5884,96,13481,39530,9395,94,6466,26480,27866,1688,1
61300,1200,0,0,60884,1616,0,0,54176,5587,2089,648,1
38103,24343,54,0,13857,39368,8412,863,9090,17336,17979,18095,1
62306,188,6,0,61659,678,161,2,38542,19937,3292,729,1
38052,24447,1,0,21219,37978,3110,193,12369,26876,16348,6907,1
1164,27522,33814,0,4235,14606,43659,0,6422,3565,36942,15571,1
54033,6297,1792,378,50497,7825,2031,2147,46343,8012,3610,4535,1
61282,973,171,74,48120,11999,1955,426,31796,20122,6987,3595,1
61433,1037,30,0,19056,26912,14851,1681,3340,15649,25268,18243,1
62136,158,142,64,56979,3431,1402,688,44992,9368,3693,4447,1
56658,5013,712,117,42428,18080,1557,435,29682,26097,5197,1524,1
23247,37205,1526,522,18952,39665,3196,687,14974,37197,7771,2558,1
31619,30609,252,20,29071,30158,1742,1529,20118,32193,3917,6272,1
61762,699,39,0,53766,7795,908,31,34029,16623,8086,3762,1
58955,1562,905,1078,14188,27736,15565,5011,4229,8874,17564,31833,1
41500,21000,0,0,15842,46519,139,0,5096,49193,7740,471,1
21584,40916,0,0,7469,38349,16680,2,635,31937,25540,4388,1
59972,1662,693,173,23512,33163,4924,901,3538,11733,22152,25077,1
5012,54636,2852,0,1793,32130,28577,0,742,18944,40407,2407,1
51224,6922,2066,2288,8113,37190,9688,7509,4385,4984,28921,24210,1
18527,18258,18456,7259,9447,16387,18760,17906,5360,7540,10162,39438,1
61537,670,255,38,53534,6069,2327,570,42161,11400,4513,4426,1
46676,13988,1836,0,26217,23025,12492,766,10945,18012,23579,9964,1
49494,12730,266,10,38766,22117,957,660,29134,25032,5984,2350,1
54742,3671,2642,1445,41656,9789,5887,5168,25315,11046,7642,18497,1
62236,210,54,0,54954,6426,663,457,29511,19391,8094,5504,1
62189,237,70,4,48717,9636,3816,331,28231,19391,3337,11541,1
50324,10141,1535,500,37151,20017,4417,915,24151,22948,8884,6517,1
59054,2148,728,570,37925,12015,7479,5081,28316,7558,7047,19579,1
61661,520,224,95,52115,8231,1454,700,44105,6314,4945,7136,1
59214,1437,759,1090,9179,32187,16508,4626,35,4606,13708,44151,1
62107,298,86,9,52853,7573,1724,350,18072,25654,11208,7566,1
50945,7600,2605,1350,15000,35587,8019,3894,3171,11184,21361,26784,1
46456,9343,6184,517,9986,18694,11874,21946,1924,5594,6885,48097,1
62310,181,9,0,40136,17803,4274,287,12416,16484,16235,17365,1
61801,377,302,20,50534,10334,1288,344,15884,30318,11086,5212,1
62249,245,6,0,56732,4058,1226,484,38255,13241,4646,6358,1
47391,14341,623,145,21185,35488,4066,1761,6529,30601,14768,10602,1
20719,8401,5894,27486,24180,2833,6896,28591,21170,3431,3287,34612,1
46031,16009,426,34,34949,20620,4882,2049,24422,21431,5766,10881,1
17066,30916,14139,379,14781,35951,11316,452,9079,25032,17473,10916,1
54335,4030,3059,1076,47502,6604,4143,4251,36350,12267,7020,6863,1
17721,30215,14281,283,15015,36285,10935,265,11546,25758,18800,6396,1
39956,22544,0,0,18395,33180,10925,0,11833,10323,23572,16772,1
62299,188,13,0,38777,23239,457,27,16107,17684,17519,11190,1
60981,859,430,230,44798,6226,6138,5338,28805,12837,6898,13960,1
56224,6100,171,5,17249,29902,14378,971,15880,1444,13481,31695,1
35525,18212,7943,820,15954,12324,22288,11934,12414,4212,7640,38234,1
24819,26979,10432,270,15590,37245,9615,50,9869,35431,15432,1768,1
52279,6339,1805,2077,8614,38501,8651,6734,5174,4607,30865,21854,1
23982,38377,134,7,58921,3126,376,77,54805,4265,2124,1306,1
61249,1250,1,0,43731,10432,5555,2782,9780,17467,12503,22750,1
41058,21320,112,10,23596,37614,1069,221,8007,30590,17190,6713,1
57431,4295,583,191,36460,14446,7153,4441,5725,19110,10038,27627,1
52850,4271,2702,2677,17679,8822,11729,24270,10914,3970,4438,43178,1
58770,2540,929,261,45852,11041,3326,2281,21199,11882,12180,17239,1
