56940,4480,760,200,80,26,14,0,31390,22425,4104,1787,907,630,570,687,10531,9254,14704,13982,5805,2700,2082,3442,1
56840,4321,779,245,201,107,7,0,1793,3638,10957,23262,19284,3049,299,218,3,284,1158,1833,2823,5693,11978,38728,1
21668,13032,16138,11457,141,62,2,0,9195,7446,36318,7500,1489,283,157,112,4,3436,4642,16417,15605,10852,7434,4110,1
52381,2525,1495,1088,961,983,1098,1969,42313,6778,3262,2064,1493,1211,1299,4080,12524,9267,10796,7401,6031,4016,3694,8771,1
25592,5031,3605,3312,3210,1997,2339,17414,17107,3416,2488,2185,2616,3725,4723,26240,10810,3250,2830,2620,2403,2305,2881,35401,1
52495,7863,1595,468,69,10,0,0,10759,7392,9165,11315,9404,8303,2840,3322,594,7634,3940,3851,4010,4189,5480,32802,1
24385,25264,11756,685,251,139,20,0,4843,19323,14300,19654,3164,620,310,286,124,645,3922,4837,12541,15604,16091,8736,1
53572,6893,1502,361,97,44,26,5,18984,26613,10056,3213,1691,961,576,406,8586,4655,4667,5976,9747,12269,9807,6793,1
60205,1721,454,103,16,1,0,0,49445,10051,1828,770,271,113,22,0,368,27531,25437,5008,2128,1190,524,314,1
23234,21524,16254,1051,287,126,24,0,24148,20225,12968,2615,1088,559,420,477,9836,12061,15551,10729,4300,2860,2571,4592,1
2945,6928,6589,13615,24120,8303,0,0,844,4549,6579,14867,32188,3279,192,2,533,4034,4268,13314,27810,7614,2896,2031,1
182,528,1999,12703,13923,7804,8076,17285,0,0,853,11297,15039,13223,6473,15615,0,0,347,6380,14886,12164,9911,18812,1
262,6731,17203,32706,5589,9,0,0,11,3992,18427,30561,9467,32,10,0,0,33,3108,11933,14630,15242,12576,4978,1
43412,14586,3911,570,21,0,0,0,10854,15152,13250,13234,7081,2182,658,89,4390,10529,4065,3065,3934,6526,9614,20377,1
3489,10501,12947,10566,11224,10726,3034,13,2632,10100,13316,11407,11873,8407,4762,3,1764,7583,10609,12036,12151,9633,7647,1077,1
48802,4815,2484,1841,1665,1866,956,71,35015,9104,5481,3710,2385,2157,2176,2472,18377,11234,9429,6883,5505,3561,2954,4557,1
56030,3635,1320,729,435,246,98,7,47052,6502,3845,2075,1441,852,502,231,28588,12217,6396,4708,3872,3371,1974,1374,1
7374,18654,19149,9145,4581,2203,1039,355,1986,9613,18635,17090,9488,3653,1458,577,1789,7314,9764,10071,10674,7359,5759,9770,1
7129,13623,17029,9132,5830,4624,4272,861,1011,7096,20556,14955,7487,5428,4970,997,314,3002,14829,17031,8973,7054,6291,5006,1
11264,32328,12382,2958,1316,1071,667,514,1217,22800,23618,6521,2265,1297,1305,3477,464,6701,17083,13979,8656,5818,3900,5899,1
29434,19091,7714,3068,1634,1032,503,24,16782,11651,11627,8527,6260,4588,1945,1120,5295,10003,7682,6551,5641,6422,6366,14540,1
840,6056,48130,7149,294,31,0,0,154,28802,22149,8285,1770,697,291,352,46,21330,17762,8364,4720,3823,2405,4050,1
216,1682,13545,28616,16579,1859,3,0,102,2801,19131,25578,12036,2847,5,0,1056,2580,6848,22319,17727,5776,4187,2007,1
9080,10399,18939,22881,1121,58,22,0,248,9766,14737,22636,13719,1233,116,45,0,362,5646,10357,10317,10014,13987,11817,1
26,3012,22433,32630,4397,2,0,0,0,1866,17117,27206,14664,1060,547,40,0,389,10303,15936,12941,9183,8263,5485,1
7313,20870,23714,9477,1125,1,0,0,4876,15737,21678,12713,4501,2328,665,2,3291,12504,14769,12320,4152,3416,3842,8206,1
55328,5916,908,188,90,45,19,6,21419,13512,9802,7754,6734,2770,343,166,0,421,10154,11392,9403,8678,7400,15052,1
61277,1059,116,35,13,0,0,0,3698,7703,10741,27849,9219,3216,66,8,0,0,1075,4067,3991,5573,4170,43624,1
54170,4062,1574,777,567,492,438,420,33964,13844,4133,3033,1699,1122,1180,3525,12242,19639,12767,4763,2533,2214,1985,6357,1
50499,6840,1682,1026,793,713,681,266,28182,11445,8069,4756,2896,1718,1486,3948,10126,16732,9369,5625,5885,3444,2858,8461,1
57700,1730,713,493,471,476,546,371,12541,21825,7159,5818,5656,3873,2435,3193,40,2771,5809,8073,11803,6535,5345,22124,1
59845,1912,482,184,71,6,0,0,24736,15081,12819,5807,2218,1268,437,134,14335,11366,7547,7313,6372,4725,4620,6222,1
45852,11641,2302,720,326,256,270,1133,38617,8078,3895,4009,2285,1917,1322,2377,12587,15665,9285,6098,3677,3324,3570,8294,1
61511,479,192,110,77,45,38,48,15110,10292,11815,9284,8571,4062,2498,868,4702,1663,1332,4579,5608,7297,11070,26249,1
41236,16646,3553,863,189,12,1,0,22981,24052,11249,2898,1080,224,16,0,14628,24341,11096,7143,2831,1331,694,436,1
46068,8201,4156,3034,956,85,0,0,20405,14083,7482,5860,4248,4457,2971,2994,105,4627,11104,9512,6726,5237,5982,19207,1
62208,291,1,0,0,0,0,0,2686,40442,13687,4305,1281,99,0,0,0,0,8704,18520,8787,7625,4641,14223,1
55014,4829,1365,592,324,186,167,23,24670,25409,7198,2947,1068,542,314,352,3628,3926,6483,6748,9182,12052,10858,9623,1
33007,21279,6479,1330,336,64,5,0,19313,17701,10685,4421,4118,3133,1941,1188,4985,17094,9393,7060,5232,3607,3479,11650,1
49987,7443,2937,1381,606,137,9,0,32317,12976,5312,3172,2366,2196,2111,2050,6014,13930,12200,7192,4962,4369,4597,9236,1
38540,12718,8128,2768,295,48,3,0,11751,15224,10383,8527,7177,4397,3078,1963,1094,5960,10510,9416,7151,7034,6695,14640,1
56930,2605,1307,622,448,402,159,27,16444,24000,9260,8138,2888,884,518,368,4493,5842,12981,12452,6002,4127,5183,11420,1
61594,557,185,115,41,8,0,0,56230,2641,1253,1050,702,348,188,88,36946,9210,4155,3231,2743,1694,1415,3106,1
40538,11860,4501,2701,1518,814,425,143,21343,15889,10634,6483,3532,2020,1470,1129,2866,9414,10901,9493,8109,6967,6446,8304,1
8077,17717,11814,10784,8418,3714,1234,742,1012,9935,18222,15611,11301,4226,1415,778,570,5191,16265,18813,10503,5177,3671,2310,1
4589,20286,18866,18598,160,1,0,0,2710,21058,20128,17211,1058,256,75,4,2716,18111,17331,10259,9554,3508,316,705,1
60365,1700,178,89,68,36,32,32,34261,18027,6258,2172,1103,255,239,185,9081,7758,8483,8072,9976,7395,5952,5783,1
56474,3722,901,394,339,239,199,232,42673,9570,3800,2849,1508,840,571,689,10282,13983,10136,7987,6083,4951,4846,4232,1
50172,10052,1019,601,385,201,65,5,20286,3926,22453,6950,3367,2681,1606,1231,18188,2125,1763,9184,13042,7350,4004,6844,1
39732,9224,12326,710,328,157,23,0,22668,11818,17062,8496,1074,615,416,351,14709,4054,5482,22332,4961,3899,3306,3757,1
57420,3333,1079,434,169,59,6,0,40430,13884,3965,2106,1117,572,272,154,7844,20416,13858,8937,4637,2869,1833,2106,1
55381,3142,1125,582,430,357,370,1113,41680,6718,4528,2875,2225,1335,865,2274,19001,14479,6803,4357,3218,3542,3255,7845,1
49088,5299,1987,1468,1270,1231,1132,1025,30127,14839,5256,2964,1863,1507,1764,4180,9436,9615,10157,7668,7362,4891,3862,9509,1
78,565,24707,19217,11832,5779,321,1,10,12789,1076,27359,7736,4359,8514,657,10261,2616,569,13774,7604,3897,5830,17949,1
55284,5277,999,421,236,138,96,49,52853,5262,1789,1023,619,394,268,292,26228,18153,6644,3874,2631,1995,1326,1649,1
10635,17916,11805,6911,5236,5977,3996,24,2504,11838,15047,15329,10434,6733,612,3,2777,9812,13117,15232,11094,5325,3917,1226,1
43189,13341,5185,685,61,26,13,0,12185,26714,13213,9016,1212,100,39,21,342,7340,8912,9718,9022,6654,5884,14628,1
47347,11830,1917,497,295,292,210,112,5366,35284,11687,4929,2586,1223,617,808,146,9463,17145,12292,8567,6586,3969,4332,1
45265,14520,2343,335,36,1,0,0,22284,14960,13579,8182,3213,276,6,0,10014,5593,3557,4150,6203,7696,12978,12309,1
22973,10403,28712,191,103,55,31,32,22271,35262,1630,1126,1186,747,145,133,7615,39133,6393,3224,1365,944,917,2909,1
32378,29321,481,94,53,54,44,75,29849,30735,641,356,226,194,155,344,13317,37071,6998,1811,849,575,422,1457,1
14179,20400,24581,3200,80,48,12,0,13592,15030,33306,201,121,74,78,98,11006,6066,10778,29550,4004,630,211,255,1
623,9764,13398,16862,12658,5969,1610,1616,400,12276,579,21400,16904,4546,2097,4298,317,10880,1878,167,3169,22346,8953,14790,1
55404,6622,289,108,52,24,1,0,57868,2309,1154,574,299,179,72,45,28247,12689,8421,4238,2306,1655,1445,3499,1
244,7605,51834,2431,386,0,0,0,19,12535,22315,18603,5441,2997,590,0,256,11746,6657,20344,7547,4726,10756,468,1
21619,22705,13265,2964,1380,505,62,0,2918,12474,8598,6997,6545,6470,6313,12185,8,3426,5973,5674,5158,4828,5963,31470,1
10267,21449,22473,6900,1075,240,85,11,4289,18541,23384,7372,2377,1983,1689,2865,1085,9594,22482,14845,3147,2241,2240,6866,1
287,4910,15011,22069,12916,4054,2460,793,18,1378,10290,18394,21863,7202,3048,307,29,1545,7712,7013,13784,7787,6934,17696,1
55182,6069,846,196,90,56,50,11,11063,19289,9521,10250,5176,3653,2151,1397,0,3569,8773,10335,7820,6207,7201,18595,1
16458,45879,116,32,12,3,0,0,18365,43302,677,99,39,12,6,0,22007,30198,5077,3291,1196,396,225,110,1
61812,369,127,73,55,39,25,0,58498,2660,572,301,180,103,82,104,46673,8794,2867,1631,859,611,438,627,1
61981,323,91,53,37,15,0,0,56289,3383,1647,673,253,101,85,69,17395,12024,11200,10310,4430,2465,1861,2815,1
35807,21157,3656,1139,344,188,118,91,7679,24190,17720,6730,2885,1359,936,1001,771,9693,7486,9665,13374,8840,6488,6183,1
59847,710,558,563,592,202,26,2,54565,3668,1269,632,496,546,869,455,13829,7938,8608,9992,6724,5528,3698,6183,1
0,207,18640,42751,342,267,264,29,0,16162,43406,1698,442,278,244,270,0,10415,14925,31743,2739,1059,651,968,1
61069,634,366,218,136,61,16,0,58533,1379,826,569,437,347,252,157,49601,5778,2648,1142,747,599,626,1359,1
4317,22588,2243,3625,11162,11949,6616,0,22650,3477,797,28731,4032,2007,641,165,24816,10355,5110,6255,4991,3231,1937,5805,1
62400,100,0,0,0,0,0,0,59920,1987,358,217,18,0,0,0,57629,1076,750,659,674,540,629,543,1
177,28130,20764,8839,4433,157,0,0,2,15771,29921,11502,4892,335,77,0,196,15750,22686,15338,3855,1794,862,2019,1
25428,10031,3592,11367,11904,174,4,0,33471,2516,22023,2537,919,596,223,215,37621,7328,7277,3555,2377,1470,809,2063,1
57362,1451,811,621,530,587,713,425,54230,3335,1209,767,575,587,596,1201,41122,9380,3637,2226,1479,1232,941,2483,1
61972,385,112,26,5,0,0,0,60608,914,616,211,96,34,18,3,34276,6970,6347,4395,2721,1878,2056,3857,1
41304,10817,4719,2449,1199,554,563,895,18498,10496,11405,12211,5756,2061,713,1360,13985,2104,4364,6735,9929,10222,9540,5621,1
16863,31370,12097,1438,177,294,255,6,13993,24311,17290,4573,1158,406,594,175,8919,19759,19118,7222,3017,1698,1094,1673,1
14516,31666,12531,2339,1338,94,15,1,4810,24935,20066,8490,2570,733,433,463,4292,17558,10074,6425,8982,5363,4491,5315,1
45981,6056,2131,1092,999,857,1021,4363,19688,12244,7586,4971,5118,3414,2112,7367,6632,7184,7750,6556,6057,5016,4429,18876,1
5388,51049,5924,72,42,22,3,0,1439,48943,11815,164,70,36,26,7,848,30617,25286,4667,457,278,218,129,1
60885,408,186,176,133,186,269,257,55712,4854,597,275,186,143,193,540,41484,10136,5016,2630,1011,574,487,1162,1
57498,2125,427,374,308,358,535,875,29451,10881,8820,5537,3661,1683,713,1754,10361,6513,5245,4433,6443,7565,9457,12483,1
15988,22932,11205,6650,2447,279,204,2795,691,14010,23487,15843,4721,511,276,2961,23,3361,13942,15937,14268,6975,2722,5272,1
59130,1842,390,205,199,200,222,312,32973,10431,6914,5294,2739,2088,902,1159,9335,15626,8361,5646,5578,5655,6421,5878,1
