46122,10818,3150,1330,530,230,118,82,43,37,13,13,11,3,0,0,19801,11589,13764,8661,2456,1648,1062,725,518,389,317,313,326,244,295,392,6867,3664,3336,5918,7232,7472,7440,6542,3692,2113,1486,1214,1054,1028,1146,2296,1
50714,6126,2961,1360,532,247,142,103,114,87,64,43,7,0,0,0,558,1235,1599,2039,3357,7600,9714,13548,11947,7337,2649,400,168,131,124,94,0,3,61,223,437,721,891,942,1174,1649,2355,3338,5442,6536,7151,31577,1
13540,8128,6075,6957,6610,9528,8083,3374,80,61,40,22,2,0,0,0,3915,5280,3621,3825,10331,25987,5133,2367,1075,414,176,107,83,74,78,34,0,4,526,2910,2487,2155,5039,11378,9293,6312,5277,5575,3978,3456,2412,1698,1
49294,3087,1444,1081,796,699,566,522,490,471,512,471,510,588,697,1272,34224,8089,4320,2458,1751,1511,1170,894,779,714,602,609,609,690,866,3214,6473,6051,4873,4394,5826,4970,3954,3447,3188,2843,2306,1710,1839,1855,1987,6784,1
22110,3482,2837,2194,1950,1655,1590,1722,1812,1398,954,1043,1173,1166,1260,16154,14348,2759,1872,1544,1340,1148,1087,1098,1219,1397,1761,1964,2219,2504,2918,23322,6959,3851,1754,1496,1410,1420,1356,1264,1230,1173,1181,1124,1265,1616,2634,32767,1
38295,14200,5929,1934,1098,497,292,176,44,25,10,0,0,0,0,0,3445,7314,3122,4270,4395,4770,5576,5739,3865,5539,5242,3061,1419,1421,1331,1991,0,594,3422,4212,2103,1837,1782,2069,1939,2071,2139,2050,2461,3019,3842,28960,1
8634,15751,12947,12317,6357,5399,525,160,139,112,86,53,13,7,0,0,557,4286,8513,10810,7881,6419,12733,6921,2696,468,395,225,180,130,144,142,40,84,201,444,1536,2386,1744,3093,5228,7313,7550,8054,9560,6531,4293,4443,1
40571,13001,4832,2061,1016,486,239,122,63,34,25,19,18,8,4,1,11603,7381,11573,15040,6762,3294,1954,1259,916,775,550,411,337,239,188,218,5821,2765,2386,2269,2292,2375,2703,3273,4327,5420,5686,6583,5826,3981,3017,3776,1
57159,3046,1110,611,310,144,73,30,13,3,1,0,0,0,0,0,5863,43582,7732,2319,1113,715,497,273,164,107,76,37,16,6,0,0,0,368,5160,22371,18932,6505,3085,1923,1228,900,686,504,315,209,147,167,1
14714,8520,8641,12883,11076,5178,843,208,184,103,88,38,19,5,0,0,14262,9886,9962,10263,8165,4803,1609,1006,621,467,305,254,219,201,214,263,4422,5414,6120,5941,7361,8190,6642,4087,2461,1839,1550,1310,1273,1298,1497,3095,1
585,2360,3461,3467,3133,3456,4094,9521,9924,14196,7500,803,0,0,0,0,21,823,2617,1932,2478,4101,4987,9880,15194,16994,2945,334,148,44,2,0,12,521,2103,1931,2242,2026,3771,9543,13955,13855,5231,2383,1410,1486,1085,946,1
49,133,202,326,484,1515,4370,8333,8460,5463,3138,4666,4105,3971,3992,13293,0,0,0,0,46,807,3593,7704,8143,6896,8435,4788,3796,2677,4957,10658,0,0,0,0,8,339,1890,4490,8715,6171,6857,5307,5929,3982,5082,13730,1
2,260,965,5766,6892,10311,15416,17290,5582,7,8,1,0,0,0,0,0,11,457,3535,7514,10913,13445,17116,9280,187,28,4,7,3,0,0,0,0,0,33,793,2315,4870,7063,6918,7712,8320,6922,7489,5087,3292,1686,1
27427,15985,9270,5316,2708,1203,465,105,19,2,0,0,0,0,0,0,1952,8902,8919,6233,6324,6926,6923,6311,4571,2510,1406,776,445,213,85,4,348,4042,6088,4441,2318,1747,1508,1557,1810,2124,2850,3676,4431,5183,6414,13963,1
584,2905,4618,5883,6460,6487,5549,5017,5555,5669,6096,4630,2645,389,12,1,472,2160,4379,5721,6625,6691,5693,5714,5920,5953,4707,3700,3124,1638,3,0,371,1393,3154,4429,4830,5779,5883,6153,6254,5897,4797,4836,4157,3490,636,441,1
42444,6358,2884,1931,1383,1101,952,889,813,852,941,925,668,288,71,0,26400,8615,5663,3441,2850,2631,2068,1642,1271,1114,1100,1057,1030,1146,1552,920,14788,3589,5601,5633,4648,4781,3776,3107,3012,2493,2015,1546,1558,1396,1496,3061,1
